piece	poly	species	chr	use.piece
1	1	btau	chr5	TRUE
1	1	btau	chr6	TRUE
1	1	btau	chr7	TRUE
1	1	btau	chr8	TRUE
1	1	btau	chr9	TRUE
1	1	cbri	chr1	TRUE
1	1	cbri	chr2	TRUE
1	1	cbri	chr3	TRUE
1	1	cbri	chr4	TRUE
1	1	cbri	chr5	TRUE
1	1	ccle	chr1	TRUE
1	1	ccle	chr2	TRUE
1	1	ccle	chr3	TRUE
1	1	ccle	chr4	TRUE
1	1	ccle	chr5	TRUE
1	1	ccle	chr6	TRUE
1	1	ccle	chr7	TRUE
1	1	ccle	chr8	TRUE
1	1	ccle	chr9	TRUE
1	1	cele	chr1	TRUE
1	1	cele	chr2	TRUE
1	1	cele	chr3	TRUE
1	1	cele	chr4	TRUE
1	1	cele	chr5	TRUE
1	1	clan	chr1	TRUE
1	1	clan	chr10	TRUE
1	1	clan	chr11	TRUE
1	1	clan	chr2	TRUE
1	1	clan	chr3	TRUE
1	1	clan	chr4	TRUE
1	1	clan	chr5	TRUE
1	1	clan	chr6	TRUE
1	1	clan	chr7	TRUE
1	1	clan	chr8	TRUE
1	1	clan	chr9	TRUE
1	1	clup	chr1	TRUE
1	1	clup	chr10	TRUE
1	1	clup	chr11	TRUE
1	1	clup	chr12	TRUE
1	1	clup	chr13	TRUE
1	1	clup	chr14	TRUE
1	1	clup	chr15	TRUE
1	1	clup	chr16	TRUE
1	1	clup	chr17	TRUE
1	1	clup	chr18	TRUE
1	1	clup	chr19	TRUE
1	1	clup	chr2	TRUE
1	1	clup	chr20	TRUE
1	1	clup	chr21	TRUE
1	1	clup	chr22	TRUE
1	1	clup	chr23	TRUE
1	1	clup	chr24	TRUE
1	1	clup	chr25	TRUE
1	1	clup	chr26	TRUE
1	1	clup	chr27	TRUE
1	1	clup	chr28	TRUE
1	1	clup	chr29	TRUE
1	1	clup	chr3	TRUE
1	1	clup	chr30	TRUE
1	1	clup	chr31	TRUE
1	1	clup	chr32	TRUE
1	1	clup	chr33	TRUE
1	1	clup	chr34	TRUE
1	1	clup	chr35	TRUE
1	1	clup	chr36	TRUE
1	1	clup	chr37	TRUE
1	1	clup	chr38	TRUE
1	1	clup	chr4	TRUE
1	1	clup	chr5	TRUE
1	1	clup	chr6	TRUE
1	1	clup	chr7	TRUE
1	1	clup	chr8	TRUE
1	1	clup	chr9	TRUE
1	1	crub	chr1	TRUE
1	1	crub	chr2	TRUE
1	1	crub	chr3	TRUE
1	1	crub	chr4	TRUE
1	1	crub	chr5	TRUE
1	1	crub	chr6	TRUE
1	1	crub	chr7	TRUE
1	1	crub	chr8	TRUE
1	1	csat	chr1	TRUE
1	1	csat	chr2	TRUE
1	1	csat	chr3	TRUE
1	1	csat	chr4	TRUE
1	1	csat	chr5	TRUE
1	1	csat	chr6	TRUE
1	1	csat	chr7	TRUE
1	1	csem	chr1	TRUE
1	1	csem	chr10	TRUE
1	1	csem	chr11	TRUE
1	1	csem	chr12	TRUE
1	1	csem	chr13	TRUE
1	1	csem	chr14	TRUE
1	1	csem	chr15	TRUE
1	1	csem	chr16	TRUE
1	1	csem	chr17	TRUE
1	1	csem	chr18	TRUE
1	1	csem	chr19	TRUE
1	1	csem	chr2	TRUE
1	1	csem	chr20	TRUE
1	1	csem	chr3	TRUE
1	1	csem	chr4	TRUE
1	1	csem	chr5	TRUE
1	1	csem	chr6	TRUE
1	1	csem	chr7	TRUE
1	1	csem	chr8	TRUE
1	1	csem	chr9	TRUE
1	1	dmel	chr3	TRUE
1	1	dmel	chr5	TRUE
1	1	dmel	chr7	TRUE
1	1	dmel	chr8	TRUE
1	1	dpse	chr2	TRUE
1	1	drer	chr1	TRUE
1	1	drer	chr10	TRUE
1	1	drer	chr11	TRUE
1	1	drer	chr12	TRUE
1	1	drer	chr13	TRUE
1	1	drer	chr14	TRUE
1	1	drer	chr15	TRUE
1	1	drer	chr16	TRUE
1	1	drer	chr17	TRUE
1	1	drer	chr18	TRUE
1	1	drer	chr19	TRUE
1	1	drer	chr2	TRUE
1	1	drer	chr20	TRUE
1	1	drer	chr21	TRUE
1	1	drer	chr22	TRUE
1	1	drer	chr23	TRUE
1	1	drer	chr24	TRUE
1	1	drer	chr25	TRUE
1	1	drer	chr3	TRUE
1	1	drer	chr4	TRUE
1	1	drer	chr5	TRUE
1	1	drer	chr6	TRUE
1	1	drer	chr7	TRUE
1	1	drer	chr8	TRUE
1	1	drer	chr9	TRUE
1	1	ecab	chr1	TRUE
1	1	ecab	chr10	TRUE
1	1	ecab	chr11	TRUE
1	1	ecab	chr12	TRUE
1	1	ecab	chr13	TRUE
1	1	ecab	chr14	TRUE
1	1	ecab	chr15	TRUE
1	1	ecab	chr16	TRUE
1	1	ecab	chr17	TRUE
1	1	ecab	chr18	TRUE
1	1	ecab	chr19	TRUE
1	1	ecab	chr2	TRUE
1	1	ecab	chr20	TRUE
1	1	ecab	chr21	TRUE
1	1	ecab	chr22	TRUE
1	1	ecab	chr23	TRUE
1	1	ecab	chr24	TRUE
1	1	ecab	chr25	TRUE
1	1	ecab	chr26	TRUE
1	1	ecab	chr27	TRUE
1	1	ecab	chr28	TRUE
1	1	ecab	chr29	TRUE
1	1	ecab	chr3	TRUE
1	1	ecab	chr30	TRUE
1	1	ecab	chr31	TRUE
1	1	ecab	chr4	TRUE
1	1	ecab	chr5	TRUE
1	1	ecab	chr6	TRUE
1	1	ecab	chr7	TRUE
1	1	ecab	chr8	TRUE
1	1	ecab	chr9	TRUE
1	1	falb	chr1	TRUE
1	1	falb	chr10	TRUE
1	1	falb	chr11	TRUE
1	1	falb	chr12	TRUE
1	1	falb	chr13	TRUE
1	1	falb	chr14	TRUE
1	1	falb	chr15	TRUE
1	1	falb	chr17	TRUE
1	1	falb	chr18	TRUE
1	1	falb	chr19	TRUE
1	1	falb	chr1A	TRUE
1	1	falb	chr2	TRUE
1	1	falb	chr20	TRUE
1	1	falb	chr21	TRUE
1	1	falb	chr22	TRUE
1	1	falb	chr23	TRUE
1	1	falb	chr24	TRUE
1	1	falb	chr25	TRUE
1	1	falb	chr26	TRUE
1	1	falb	chr27	TRUE
1	1	falb	chr28	TRUE
1	1	falb	chr3	TRUE
1	1	falb	chr4	TRUE
1	1	falb	chr4A	TRUE
1	1	falb	chr5	TRUE
1	1	falb	chr6	TRUE
1	1	falb	chr7	TRUE
1	1	falb	chr8	TRUE
1	1	falb	chr9	TRUE
1	1	falb	LG34	TRUE
1	1	falb	LG35	TRUE
1	1	falb	LGE22	TRUE
1	1	gacu	chr1	TRUE
1	1	gacu	chr10	TRUE
1	1	gacu	chr11	TRUE
1	1	gacu	chr12	TRUE
1	1	gacu	chr13	TRUE
1	1	gacu	chr14	TRUE
1	1	gacu	chr15	TRUE
1	1	gacu	chr16	TRUE
1	1	gacu	chr17	TRUE
1	1	gacu	chr18	TRUE
1	1	gacu	chr19	TRUE
1	1	gacu	chr2	TRUE
1	1	gacu	chr20	TRUE
1	1	gacu	chr21	TRUE
1	1	gacu	chr3	TRUE
1	1	gacu	chr4	TRUE
1	1	gacu	chr5	TRUE
1	1	gacu	chr6	TRUE
1	1	gacu	chr7	TRUE
1	1	gacu	chr8	TRUE
1	1	gacu	chr9	TRUE
1	1	ggal	chr1	TRUE
1	1	ggal	chr10	TRUE
1	1	ggal	chr11	TRUE
1	1	ggal	chr12	TRUE
1	1	ggal	chr13	TRUE
1	1	ggal	chr14	TRUE
1	1	ggal	chr15	TRUE
1	1	ggal	chr17	TRUE
1	1	ggal	chr18	TRUE
1	1	ggal	chr19	TRUE
1	1	ggal	chr2	TRUE
1	1	ggal	chr20	TRUE
1	1	ggal	chr21	TRUE
1	1	ggal	chr22	TRUE
1	1	ggal	chr23	TRUE
1	1	ggal	chr24	TRUE
1	1	ggal	chr25	TRUE
1	1	ggal	chr26	TRUE
1	1	ggal	chr27	TRUE
1	1	ggal	chr28	TRUE
1	1	ggal	chr3	TRUE
1	1	ggal	chr4	TRUE
1	1	ggal	chr5	TRUE
1	1	ggal	chr6	TRUE
1	1	ggal	chr7	TRUE
1	1	ggal	chr8	TRUE
1	1	ggal	chr9	TRUE
1	1	gmax	chr1	TRUE
1	1	gmax	chr10	TRUE
1	1	gmax	chr11	TRUE
1	1	gmax	chr12	TRUE
1	1	gmax	chr13	TRUE
1	1	gmax	chr14	TRUE
1	1	gmax	chr15	TRUE
1	1	gmax	chr16	TRUE
1	1	gmax	chr17	TRUE
1	1	gmax	chr18	TRUE
1	1	gmax	chr19	TRUE
1	1	gmax	chr2	TRUE
1	1	gmax	chr20	TRUE
1	1	gmax	chr3	TRUE
1	1	gmax	chr4	TRUE
1	1	gmax	chr5	TRUE
1	1	gmax	chr6	TRUE
1	1	gmax	chr7	TRUE
1	1	gmax	chr8	TRUE
1	1	gmax	chr9	TRUE
1	1	grai	chr1	TRUE
1	1	grai	chr10	TRUE
1	1	grai	chr11	TRUE
1	1	grai	chr12	TRUE
1	1	grai	chr13	TRUE
1	1	grai	chr2	TRUE
1	1	grai	chr3	TRUE
1	1	grai	chr4	TRUE
1	1	grai	chr5	TRUE
1	1	grai	chr6	TRUE
1	1	grai	chr7	TRUE
1	1	grai	chr8	TRUE
1	1	grai	chr9	TRUE
1	1	hmel	chr1	TRUE
1	1	hmel	chr10	TRUE
1	1	hmel	chr11	TRUE
1	1	hmel	chr12	TRUE
1	1	hmel	chr13	TRUE
1	1	hmel	chr14	TRUE
1	1	hmel	chr15	TRUE
1	1	hmel	chr16	TRUE
1	1	hmel	chr17	TRUE
1	1	hmel	chr18	TRUE
1	1	hmel	chr19	TRUE
1	1	hmel	chr2	TRUE
1	1	hmel	chr20	TRUE
1	1	hmel	chr3	TRUE
1	1	hmel	chr4	TRUE
1	1	hmel	chr5	TRUE
1	1	hmel	chr6	TRUE
1	1	hmel	chr7	TRUE
1	1	hmel	chr8	TRUE
1	1	hmel	chr9	TRUE
1	1	hsap	chr1	TRUE
1	1	hsap	chr10	TRUE
1	1	hsap	chr11	TRUE
1	1	hsap	chr12	TRUE
1	1	hsap	chr13	TRUE
1	1	hsap	chr14	TRUE
1	1	hsap	chr15	TRUE
1	1	hsap	chr16	TRUE
1	1	hsap	chr17	TRUE
1	1	hsap	chr18	TRUE
1	1	hsap	chr19	TRUE
1	1	hsap	chr2	TRUE
1	1	hsap	chr20	TRUE
1	1	hsap	chr21	TRUE
1	1	hsap	chr22	TRUE
1	1	hsap	chr3	TRUE
1	1	hsap	chr4	TRUE
1	1	hsap	chr5	TRUE
1	1	hsap	chr6	TRUE
1	1	hsap	chr7	TRUE
1	1	hsap	chr8	TRUE
1	1	hsap	chr9	TRUE
1	1	locu	chr1	TRUE
1	1	locu	chr10	TRUE
1	1	locu	chr11	TRUE
1	1	locu	chr12	TRUE
1	1	locu	chr13	TRUE
1	1	locu	chr14	TRUE
1	1	locu	chr15	TRUE
1	1	locu	chr16	TRUE
1	1	locu	chr17	TRUE
1	1	locu	chr18	TRUE
1	1	locu	chr19	TRUE
1	1	locu	chr2	TRUE
1	1	locu	chr20	TRUE
1	1	locu	chr21	TRUE
1	1	locu	chr22	TRUE
1	1	locu	chr23	TRUE
1	1	locu	chr24	TRUE
1	1	locu	chr25	TRUE
1	1	locu	chr26	TRUE
1	1	locu	chr27	TRUE
1	1	locu	chr28	TRUE
1	1	locu	chr29	TRUE
1	1	locu	chr3	TRUE
1	1	locu	chr4	TRUE
1	1	locu	chr5	TRUE
1	1	locu	chr6	TRUE
1	1	locu	chr7	TRUE
1	1	locu	chr8	TRUE
1	1	locu	chr9	TRUE
1	1	mgal	chr1	TRUE
1	1	mgal	chr10	TRUE
1	1	mgal	chr11	TRUE
1	1	mgal	chr12	TRUE
1	1	mgal	chr13	TRUE
1	1	mgal	chr14	TRUE
1	1	mgal	chr15	TRUE
1	1	mgal	chr16	TRUE
1	1	mgal	chr17	TRUE
1	1	mgal	chr19	TRUE
1	1	mgal	chr2	TRUE
1	1	mgal	chr20	TRUE
1	1	mgal	chr21	TRUE
1	1	mgal	chr22	TRUE
1	1	mgal	chr23	TRUE
1	1	mgal	chr24	TRUE
1	1	mgal	chr25	TRUE
1	1	mgal	chr26	TRUE
1	1	mgal	chr28	TRUE
1	1	mgal	chr3	TRUE
1	1	mgal	chr30	TRUE
1	1	mgal	chr4	TRUE
1	1	mgal	chr5	TRUE
1	1	mgal	chr6	TRUE
1	1	mgal	chr7	TRUE
1	1	mgal	chr8	TRUE
1	1	mgal	chr9	TRUE
1	1	mmul	chr1	TRUE
1	1	mmul	chr10	TRUE
1	1	mmul	chr11	TRUE
1	1	mmul	chr13	TRUE
1	1	mmul	chr14	TRUE
1	1	mmul	chr15	TRUE
1	1	mmul	chr16	TRUE
1	1	mmul	chr17	TRUE
1	1	mmul	chr18	TRUE
1	1	mmul	chr19	TRUE
1	1	mmul	chr2	TRUE
1	1	mmul	chr20	TRUE
1	1	mmul	chr3	TRUE
1	1	mmul	chr4	TRUE
1	1	mmul	chr5	TRUE
1	1	mmul	chr6	TRUE
1	1	mmul	chr7	TRUE
1	1	mmul	chr8	TRUE
1	1	mmul	chr9	TRUE
1	1	mmus	chr1	TRUE
1	1	mmus	chr10	TRUE
1	1	mmus	chr11	TRUE
1	1	mmus	chr12	TRUE
1	1	mmus	chr13	TRUE
1	1	mmus	chr14	TRUE
1	1	mmus	chr15	TRUE
1	1	mmus	chr16	TRUE
1	1	mmus	chr17	TRUE
1	1	mmus	chr18	TRUE
1	1	mmus	chr19	TRUE
1	1	mmus	chr2	TRUE
1	1	mmus	chr3	TRUE
1	1	mmus	chr4	TRUE
1	1	mmus	chr5	TRUE
1	1	mmus	chr6	TRUE
1	1	mmus	chr7	TRUE
1	1	mmus	chr8	TRUE
1	1	mmus	chr9	TRUE
1	1	mtru	chr1	TRUE
1	1	mtru	chr2	TRUE
1	1	mtru	chr3	TRUE
1	1	mtru	chr4	TRUE
1	1	mtru	chr5	TRUE
1	1	mtru	chr6	TRUE
1	1	mtru	chr7	TRUE
1	1	mtru	chr8	TRUE
1	1	oari	chr1	TRUE
1	1	oari	chr10	TRUE
1	1	oari	chr11	TRUE
1	1	oari	chr12	TRUE
1	1	oari	chr13	TRUE
1	1	oari	chr14	TRUE
1	1	oari	chr15	TRUE
1	1	oari	chr16	TRUE
1	1	oari	chr17	TRUE
1	1	oari	chr18	TRUE
1	1	oari	chr19	TRUE
1	1	oari	chr2	TRUE
1	1	oari	chr20	TRUE
1	1	oari	chr21	TRUE
1	1	oari	chr22	TRUE
1	1	oari	chr23	TRUE
1	1	oari	chr24	TRUE
1	1	oari	chr25	TRUE
1	1	oari	chr26	TRUE
1	1	oari	chr3	TRUE
1	1	oari	chr4	TRUE
1	1	oari	chr5	TRUE
1	1	oari	chr6	TRUE
1	1	oari	chr7	TRUE
1	1	oari	chr8	TRUE
1	1	oari	chr9	TRUE
1	1	olat	chr1	TRUE
1	1	olat	chr10	TRUE
1	1	olat	chr11	TRUE
1	1	olat	chr12	TRUE
1	1	olat	chr13	TRUE
1	1	olat	chr14	TRUE
1	1	olat	chr15	TRUE
1	1	olat	chr16	TRUE
1	1	olat	chr17	TRUE
1	1	olat	chr18	TRUE
1	1	olat	chr19	TRUE
1	1	olat	chr2	TRUE
1	1	olat	chr20	TRUE
1	1	olat	chr21	TRUE
1	1	olat	chr22	TRUE
1	1	olat	chr23	TRUE
1	1	olat	chr24	TRUE
1	1	olat	chr3	TRUE
1	1	olat	chr4	TRUE
1	1	olat	chr5	TRUE
1	1	olat	chr6	TRUE
1	1	olat	chr7	TRUE
1	1	olat	chr8	TRUE
1	1	olat	chr9	TRUE
1	1	osat	chr1	TRUE
1	1	osat	chr10	TRUE
1	1	osat	chr11	TRUE
1	1	osat	chr12	TRUE
1	1	osat	chr2	TRUE
1	1	osat	chr3	TRUE
1	1	osat	chr4	TRUE
1	1	osat	chr5	TRUE
1	1	osat	chr6	TRUE
1	1	osat	chr7	TRUE
1	1	osat	chr8	TRUE
1	1	osat	chr9	TRUE
1	1	panu	chr1	TRUE
1	1	panu	chr10	TRUE
1	1	panu	chr11	TRUE
1	1	panu	chr12	TRUE
1	1	panu	chr13	TRUE
1	1	panu	chr14	TRUE
1	1	panu	chr15	TRUE
1	1	panu	chr16	TRUE
1	1	panu	chr17	TRUE
1	1	panu	chr18	TRUE
1	1	panu	chr19	TRUE
1	1	panu	chr2	TRUE
1	1	panu	chr20	TRUE
1	1	panu	chr3	TRUE
1	1	panu	chr4	TRUE
1	1	panu	chr5	TRUE
1	1	panu	chr6	TRUE
1	1	panu	chr7	TRUE
1	1	panu	chr8	TRUE
1	1	panu	chr9	TRUE
1	1	pper	chr1	TRUE
1	1	pper	chr2	TRUE
1	1	pper	chr3	TRUE
1	1	pper	chr4	TRUE
1	1	pper	chr5	TRUE
1	1	pper	chr6	TRUE
1	1	pper	chr7	TRUE
1	1	pper	chr8	TRUE
1	1	ptri	chr1	TRUE
1	1	ptri	chr10	TRUE
1	1	ptri	chr11	TRUE
1	1	ptri	chr12	TRUE
1	1	ptri	chr13	TRUE
1	1	ptri	chr14	TRUE
1	1	ptri	chr15	TRUE
1	1	ptri	chr16	TRUE
1	1	ptri	chr17	TRUE
1	1	ptri	chr18	TRUE
1	1	ptri	chr19	TRUE
1	1	ptri	chr2	TRUE
1	1	ptri	chr3	TRUE
1	1	ptri	chr4	TRUE
1	1	ptri	chr5	TRUE
1	1	ptri	chr6	TRUE
1	1	ptri	chr7	TRUE
1	1	ptri	chr8	TRUE
1	1	ptri	chr9	TRUE
1	1	sbic	chr1	TRUE
1	1	sbic	chr10	TRUE
1	1	sbic	chr2	TRUE
1	1	sbic	chr3	TRUE
1	1	sbic	chr4	TRUE
1	1	sbic	chr5	TRUE
1	1	sbic	chr6	TRUE
1	1	sbic	chr7	TRUE
1	1	sbic	chr8	TRUE
1	1	sbic	chr9	TRUE
1	1	sita	chr1	TRUE
1	1	sita	chr2	TRUE
1	1	sita	chr3	TRUE
1	1	sita	chr4	TRUE
1	1	sita	chr5	TRUE
1	1	sita	chr6	TRUE
1	1	sita	chr7	TRUE
1	1	sita	chr8	TRUE
1	1	sita	chr9	TRUE
1	1	sscr	chr1	TRUE
1	1	sscr	chr10	TRUE
1	1	sscr	chr11	TRUE
1	1	sscr	chr12	TRUE
1	1	sscr	chr13	TRUE
1	1	sscr	chr14	TRUE
1	1	sscr	chr15	TRUE
1	1	sscr	chr16	TRUE
1	1	sscr	chr17	TRUE
1	1	sscr	chr18	TRUE
1	1	sscr	chr2	TRUE
1	1	sscr	chr3	TRUE
1	1	sscr	chr4	TRUE
1	1	sscr	chr5	TRUE
1	1	sscr	chr6	TRUE
1	1	sscr	chr7	TRUE
1	1	sscr	chr8	TRUE
1	1	sscr	chr9	TRUE
1	1	zmay	chr1	TRUE
1	1	zmay	chr10	TRUE
1	1	zmay	chr2	TRUE
1	1	zmay	chr3	TRUE
1	1	zmay	chr4	TRUE
1	1	zmay	chr5	TRUE
1	1	zmay	chr6	TRUE
1	1	zmay	chr7	TRUE
1	1	zmay	chr8	TRUE
1	1	zmay	chr9	TRUE
