spec	mod.set	filt	density.perkm2	gen.time.years	mass.g	size.m	trophic.cat	kingdom	area	selfing	rec	wind	U	pi.best	pi.full	num.chr	map.length	markers	mapped.markers	good.markers	mb.tot	density.good	prop.good	rec.rate	pi.avg	selstr.full	selstr.best	assembly.bp	placed.bp	placed.ungapped.bp	genome.size.mb	domesticated	placed.frac	ungapped.frac	logsize	logrange	best.model	rel.lik.best	rel.lik.hh	rel.lik.bgs	rel.lik.neut	best.model.plot	hh.conf	neut.conf	bgs.conf
mgal	set1	std	4.5	0.8333333333	7300	1.125	2	animal	1036227.7120108	no	poly	500	min	0.00234774905322667	0.00229316000558848	27	2157.9	522	504	471	865.583106	4.58152866242038	0.902298850574713	2.49300152121962	0.00237154108649863	0	0	1061800384	1040287070	917277947	1431.14	yes	0.979738833848453	0.881754636246704	0.0511525224473813	6.01545520251628	bgs	0.918208427242529	1.24827527530859e-30	0.918208427242529	0.0817915727574709	bgs	low	med	high
mmul	set1	std	5.15	4.5	6460	0.54	2	animal	3249193.41499522	no	poly	500	min	0.00308649721375029	0.00308649721375029	20	2473.9	362	290	274	2280.3949565	9.02883211678832	0.756906077348066	1.08485593381464	0.00286706401321885	0.0710945726935599	0.0710945726935599	3097370727	2863665185	2646263223	3290.97	no	0.924547119928922	0.924082618618	-0.267606240177031	6.51177556439669	full	0.626409015564282	0.979607583590632	0.0198184339525492	0.000573982456818275	hh	high	low	low
mmus	set1	std	10000	0.115	19.3	0.22	2	animal	8117236.66520893	no	piece	500	min	0.00887919246171713	0.00889925915607026	19	1436.348	9905	9885	9872	2366.842124	0.1454971636953	0.996668349318526	0.606862614719967	0.00809064978269882	0.0908625492516285	0.0888079273445341	2730855475	2725521370	2647521648	3002.46	no	0.998046727463671	0.971381724297396	-0.657577319177794	6.90940820839114	bgs	0.987705292477157	1.96404894203269e-113	0.987705292477157	0.0122947075228434	bgs	low	low	high
mtru	set1	std	9e+05	1	NA	0.175	0	plant	3078930.55984125	yes	piece	500	min	0.0146255075036719	0.0141225701447287	8	556.7	1038	654	540	264.59548	1.03092592592593	0.520231213872832	2.10396640184481	0.00514268355740714	0.635853565979514	0.648375719193607	314353944	297051484	245503603	469.44	no	0.94495866735491	0.826468192294909	-0.756961951313706	6.48839989422381	bgs	0.999999999999999	6.61577522769105e-16	0.999999999999999	1.53128755679659e-34	bgs	low	low	high
oari	set1	std	2.6	2.5	74600	1.57	1	animal	3663243.29419028	no	poly	500	min	0.00211596573051988	0.00216278971690412	26	3468.8	1350	570	554	2181.522134	6.26137184115523	0.41037037037037	1.59008242269799	0.00221771203512314	0	0	2619037772	2587507083	2506759532	3227.4	no	0.987960964390398	0.968793302429773	0.195899652409234	6.56386576327702	bgs	0.494697820776357	0.0586778077631441	0.494697820776357	0.446624371460499	bgs	med	med	med
olat	set1	std	NA	0.1342465753	0.1409	0.021	2	animal	167142.302866677	no	piece	500	min	0.00341000474048829	0.00326533515616786	24	1426.93	2469	2149	2142	715.160852	0.666167133520075	0.867557715674362	1.99525742496878	0.00304076176792202	0.0687749886322222	0.108282246115997	869801494	723441489	582138403	1056.24	no	0.831731715788476	0.804679316643395	-1.67778070526608	5.22308638152985	bgs	0.947526408833489	6.11064203964075e-30	0.947526408833489	0.0524735911665114	bgs	low	med	high
osat	set1	std	NA	1	NA	2	0	plant	6266176.79906236	partial	piece	500	min	0.00751934732681342	0.00758451116996325	12	1863.5528	30984	30979	30971	370.526242	0.060170895353718	0.999580428608314	5.02947588797233	0.00635716254418173	0.161823036221788	0.15455926320725	374471254	373245531	373128865	449.88	no	0.996726790142348	0.999687428273589	0.301029995663981	6.79700264426001	bgs	0.76577675709673	0.000998289300956725	0.76577675709673	0.233224953602313	bgs	low	med	med
panu	set1	std	11.7	8	17730	1.05	2	animal	5592032.86229625	no	poly	500	min	0.00181330736325365	0.00187378889897423	21	2422.1	360	248	242	2207.447721	10.0086776859504	0.672222222222222	1.09724002836305	0.0018918139038843	0	0	2948380710	2724327674	2682268610	3452.34	no	0.924008105452569	0.984561672077336	0.0211892990699381	6.74756971493219	bgs	0.372443335036603	0.520183742871076	0.372443335036603	0.107372922092321	bgs	med	med	med
pper	set1	std	NA	3	NA	6.09	0	plant	2063521.77352481	NA	poly	500	min	0.0154924934758873	0.0118667711855854	8	484.3	227	227	195	202.968009	2.48358974358974	0.859030837004405	2.38609031239007	0.00988340513076047	0.167136116792589	0.362052006273676	218265040	218265040	215929111	303.18	no	1	0.989297740948344	0.784617292632875	6.31460905575368	bgs	0.61399469004085	1.26144252089212e-12	0.61399469004085	0.386005309957889	bgs	low	med	med
ptri	set1	std	NA	10	NA	30.48	0	plant	2863675.20864497	no	poly	500	min	0.00325558677534095	0.00325882559343006	19	2801.5	606	538	411	357.499253	6.81630170316302	0.678217821782178	7.83638001056187	0.0031675811212272	0.0279991885379853	0.0270321942515365	434136308	394507750	387934746	479.22	no	0.908718627606701	0.983338720215256	1.48401496266756	6.4569237597629	bgs	0.691558290124726	6.70102372858283e-28	0.691558290124726	0.308441709875274	bgs	low	med	med
sbic	set1	std	NA	1	NA	1.22	0	plant	11859594.8472785	partial	poly	500	min	0.00294778312420537	0.00322372802038892	10	1227	806	541	446	630.914185	2.75112107623318	0.553349875930521	1.94479697742095	0.00248741138760364	0.228405320836107	0.156175579139945	738540932	659229367	625636246	733.5	no	0.892610468068139	0.949041831748372	0.0863598306747482	7.0740698527216	bgs	0.785327786260656	1.8402994576122e-30	0.785327786260656	0.214672213739344	bgs	low	med	med
sita	set1	std	NA	1	NA	1.52	0	plant	5669493.05447552	yes	piece	500	min	0.00615664951566783	0.00617758569943933	9	1415.923	991	991	983	396.463084	1.44040996948118	0.991927346115035	3.57138673723277	0.00232740672784581	0.623249787039451	0.621968617521124	405737677	401300885	396684774	518.34	yes	0.989064875530403	0.988497132270217	0.181843587944773	6.75354422759013	bgs	0.999984641634259	1.5358365741259e-05	0.999984641634259	1.04263528856183e-26	bgs	low	low	high
sscr	set1	std	0.8	0.5	130000	1.35	2	animal	22703604.7216943	no	piece	500	min	0.00464866163635456	0.00475885795313068	18	1603.8745458277	2367	2367	2365	2398.193434	0.678171055318266	0.999155048584706	0.668784478803514	0.00440820881243972	0.0736834644245435	0.0517251722591282	2808509378	2596639456	2323671356	2748.18	no	0.924561433314181	0.894876395192541	0.130333768495006	7.35609481694879	bgs	0.99999999999528	6.98871302866042e-16	0.99999999999528	4.71944094263e-12	bgs	low	low	high
zmay	set1	std	NA	1	NA	2.44	0	plant	90898.7252503948	partial	piece	500	min	0.0142586699472965	0.0162477127822165	10	1399.3	1106	1021	1012	2022.536226	1.38270750988142	0.91500904159132	0.691854109712248	0.0138592450874925	0.147003318358645	0.0280127712669114	2065703473	2058582553	2045439188	2669.94	no	0.996552786935262	0.993615332559364	0.387389826338729	4.95855779278631	neutral	0.999999999999825	1.08701289730095e-40	1.74607829388712e-13	0.999999999999825	neutral	low	high	low
